,Country Name,Country Code,Year,expenditure,Country_Name,Country_Code,African_Region
0,United States,USA,2000,12.48431969,United States of America,USA,
1,United States,USA,2001,13.16362572,United States of America,USA,
2,United States,USA,2002,13.98185062,United States of America,USA,
3,United States,USA,2003,14.49863911,United States of America,USA,
4,United States,USA,2004,14.59480953,United States of America,USA,
5,United States,USA,2005,14.60504532,United States of America,USA,
6,United States,USA,2006,14.71834183,United States of America,USA,
7,United States,USA,2007,14.93882084,United States of America,USA,
8,United States,USA,2008,15.2670145,United States of America,USA,
9,United States,USA,2009,16.23350334,United States of America,USA,
10,United States,USA,2010,16.25922203,United States of America,USA,
11,United States,USA,2011,16.1985054,United States of America,USA,
12,United States,USA,2012,16.17543411,United States of America,USA,
13,United States,USA,2013,16.06451797,United States of America,USA,
14,United States,USA,2014,16.25333214,United States of America,USA,
15,United States,USA,2015,16.52407265,United States of America,USA,
16,United States,USA,2016,16.84432411,United States of America,USA,
17,United States,USA,2017,16.80583572,United States of America,USA,
18,United States,USA,2018,16.68710518,United States of America,USA,
19,United States,USA,2019,16.76706314,United States of America,USA,
20,United States,USA,2020,,United States of America,USA,
21,United States,USA,2021,,United States of America,USA,
